Models,n-shot,mmlu_original_humanities_accuracy,mmlu_original_humanities_stderr,mmlu_original_socialsciences_accuracy,mmlu_original_socialsciences_stderr,mmlu_original_stem_accuracy,mmlu_original_stem_stderr,mmlu_original_others_accuracy,mmlu_original_others_stderr,mmlu_original_avg_accuracy,mmlu_original_avg_stderr,mmlu_dgen_humanities_accuracy,mmlu_dgen_humanities_stderr,mmlu_dgen_socialsciences_accuracy,mmlu_dgen_socialsciences_stderr,mmlu_dgen_stem_accuracy,mmlu_dgen_stem_stderr,mmlu_dgen_others_accuracy,mmlu_dgen_others_stderr,mmlu_dgen_avg_accuracy,mmlu_dgen_avg_stderr
meta-llama/Llama-3.1-8B-Instruct,0,0.6436,0.0067,0.7702,0.0074,0.5858,0.0084,0.7444,0.0075,0.6807,0.0038,0.5834,0.0069,0.7104,0.0081,0.5379,0.0085,0.6691,0.0082,0.62,0.0039
,5,0.6419,0.0067,0.7735,0.0074,0.6023,0.0083,0.729,0.0077,0.6811,0.0038,0.593,0.007,0.7085,0.0081,0.5423,0.0086,0.6756,0.0081,0.6252,0.004
google/gemma-2-9b,0,0.6038,0.0066,0.8089,0.0069,0.6397,0.0082,0.7486,0.0075,0.6889,0.0036,0.562,0.0068,0.7238,0.008,0.5588,0.0085,0.6678,0.0082,0.6201,0.0039
,5,0.631,0.0064,0.8252,0.0067,0.6489,0.0081,0.7564,0.0074,0.7053,0.0036,0.596,0.0069,0.7348,0.0079,0.5734,0.0084,0.6827,0.0081,0.6405,0.0039
google/gemma-2-9b-it,0,0.6508,0.0065,0.8365,0.0065,0.6556,0.0081,0.7692,0.0073,0.7188,0.0036,0.6038,0.0069,0.7436,0.0078,0.5842,0.0084,0.7052,0.008,0.6525,0.0039
,5,0.6644,0.0065,0.8372,0.0065,0.6533,0.0081,0.7686,0.0073,0.7228,0.0036,0.6336,0.0069,0.7472,0.0078,0.5744,0.0084,0.693,0.0081,0.6583,0.0039
lmsys/vicuna-13b-v1.5,0,0.5075,0.0068,0.6263,0.0085,0.4424,0.0086,0.626,0.0083,0.5452,0.004,0.5024,0.0071,0.5983,0.0087,0.444,0.0087,0.5752,0.0086,0.5264,0.0041
,5,0.5205,0.0069,0.648,0.0084,0.4481,0.0086,0.6292,0.0084,0.5563,0.004,0.5016,0.0071,0.6029,0.0087,0.4421,0.0086,0.5742,0.0087,0.5265,0.0041
Qwen/Qwen2.5-14B,0,0.6973,0.0063,0.8632,0.0061,0.7669,0.0073,0.8178,0.0066,0.776,0.0033,0.6708,0.0066,0.7865,0.0073,0.7041,0.0079,0.7361,0.0077,0.7181,0.0037
,5,0.7454,0.0061,0.8716,0.0059,0.7774,0.0071,0.8249,0.0066,0.7978,0.0032,0.699,0.0066,0.7946,0.0072,0.7057,0.0079,0.7255,0.0078,0.7273,0.0037
Qwen/Qwen2.5-14B-Instruct,0,0.732,0.0062,0.8671,0.006,0.7707,0.0072,0.8169,0.0067,0.7891,0.0033,0.6956,0.0066,0.7771,0.0074,0.6924,0.008,0.7296,0.0078,0.7203,0.0037
,5,0.7469,0.0061,0.8746,0.0059,0.777,0.0072,0.8239,0.0066,0.7987,0.0032,0.7092,0.0065,0.7884,0.0073,0.7085,0.0079,0.7374,0.0077,0.7327,0.0037
google/gemma-2-27b,0,0.6363,0.0063,0.8505,0.0063,0.6606,0.008,0.7856,0.0071,0.7218,0.0035,0.5783,0.0067,0.7537,0.0077,0.5902,0.0084,0.7026,0.0079,0.6469,0.0038
,5,0.6939,0.0063,0.8703,0.0059,0.6781,0.0079,0.795,0.0069,0.7514,0.0034,0.5974,0.0067,0.7689,0.0075,0.594,0.0083,0.711,0.0079,0.6594,0.0038
google/gemma-2-27b-it,0,0.6874,0.0064,0.8638,0.0061,0.6803,0.0079,0.7966,0.0069,0.7486,0.0034,0.6302,0.0069,0.7696,0.0075,0.5909,0.0083,0.7219,0.0079,0.6722,0.0038
,5,0.7156,0.0063,0.8661,0.006,0.6905,0.0078,0.8017,0.0069,0.762,0.0034,0.6655,0.0068,0.7754,0.0074,0.5978,0.0083,0.7187,0.0079,0.6862,0.0038
